ordem;tipologia;unidade;endereco;bairro;cep;localizacao;número de alunos;latitude;longitude
130;EMEF;EMEF CAP SEVERIANO FABIO DA SILVA AMORIM;SITIO BRITO S/N;DISTRITO DE GALANTE;58446000;-7.284484588528507, -35.7254733195248;9;-7.284484589;-35.72547332
131;EMEF;EMEF PROFA LAURA MENEZES DE AMORIM;PRACA GUMERCINDO DUNDA S/N;DISTRITO DE GALANTE;58446000;-7.305615421831444, -35.778187423620125;428;-7.305615422;-35.77818742
132;EMEIF;EMEIF CICERO CORREIA DE MENEZES;RUA PARANA S/N;DISTRITO DE GALANTE;58446000;-7.30866162578439, -35.77473833810957;241;-7.308661626;-35.77473834
133;EMEIF;EMEIF IRACEMA PIMENTEL;RUA MARIA COSTA AGRA S/N;DISTRITO DE GALANTE;58446000;-7.3066985469402566, -35.782929608281165;285;-7.306698547;-35.78292961
134;EMEIF;EMEIF JOSE ANTONIO RODRIGUES;SITIO BRITO S/N;DISTRITO DE GALANTE;58446000;;47;;
135;EMEF;EMEF JOSE GOMES FILHO;SITIO MASSAPE S/N;DISTRITO DE GALANTE;58446000;-7.315483533266357, -35.8329889298998;20;-7.315483533;-35.83298893
136;EMEIF;EMEIF MANOEL SABINO DE FARIAS;SITIO MARINHO S/N;DISTRITO DE GALANTE;58446000;-7.19981838822405, -35.834680733028776;35;-7.199818388;-35.83468073
137;EMEIF;EMEIF MARIA DA LUZ;FAZENDA MARIA DA LUZ S/N;DISTRITO DE GALANTE;58446000;-7.260678082217696, -35.807987257447785;108;-7.260678082;-35.80798726
138;EMEIF;EMEIF VER ANTONIO JOSE RODRIGUES;SITIO VARZEA S/N;DISTRITO DE GALANTE;58446000;-7.303835992397812, -35.7379582085632;58;-7.303835992;-35.73795821
139;CM;CM KARINE DA SILVA;RUA JOAO MIGUEL LEAO 650;DISTRITO DE SAO JOSE DA MATA;58441000;-7.184754701501697, -35.98655634314927;110;-7.184754702;-35.98655634
140;CM;CM MARIA SALETE GOMES PINHEIRO;RODOVIA ANTONIO VERISSIMO DE SOUZA S/N;DISTRITO DE SAO JOSE DA MATA;58441000;-7.172997350472091, -35.98001919890288;146;-7.17299735;-35.9800192
141;CM;CM VANEUZA RODRIGUES;SITIO TAMBOR S/N;DISTRITO DE SAO JOSE DA MATA;58441000;;70;;
142;EMEF;EMEF ANTONIO ALVES DE ARAUJO;SITIO TAMBOR S/N;DISTRITO DE SAO JOSE DA MATA;58441000;-7.171180872192338, -35.99924223059342;113;-7.171180872;-35.99924223
143;EMEIF;EMEIF GABRIEL SOARES;SITIO MONTE ALEGRE S/N;DISTRITO DE SAO JOSE DA MATA;58441000;-7.200566560471553, -36.05598718380267;34;-7.20056656;-36.05598718
144;EMEIF;EMEIF INACIO LUIZ DE LIMA;SITIO GASPAR S/N;DISTRITO DE SAO JOSE DA MATA;58441000;-7.235366706103116, -35.97631242207348;42;-7.235366706;-35.97631242
145;EMEIF;EMEIF LUIS JUVINO LOPES;SITIO CAMPO D'ANGOLA;DISTRITO DE SAO JOSE DA MATA;58441000;-7.176438402393877, -35.980054464509514;198;-7.176438402;-35.98005446
146;EMEIF;EMEIF MARIA SALOME ALVES DOS SANTOS;RODOVIA ANTONIO VERISSIMO DE SOUZA S/N;DISTRITO DE SAO JOSE DA MATA;58441000;-7.173510470105152, -35.97949723221511;157;-7.17351047;-35.97949723
147;EMEIF;EMEIF PROF LUIZ GIL;SITIO CAPIM GRANDE S/N;DISTRITO DE SAO JOSE DA MATA;58441000;-7.220130813433737, -35.997894001696615;145;-7.220130813;-35.997894
148;EMEIF;EMEIF PROF MAURO LUNA;SITIO LAGOA DE DENTRO S/N;DISTRITO DE SAO JOSE DA MATA;58441000;-7.200822158843414, -35.95288601551203;98;-7.200822159;-35.95288602
149;EMEIF;EMEIF PROF PEDRO OTAVIO;SITIO BOSQUE S/N;DISTRITO DE SAO JOSE DA MATA;58441000;;63;;
150;EMEIF;EMEIF SAO CLEMENTE ;RUA ARNALDO LUIZ DE MELO 55;DISTRITO DE SAO JOSE DA MATA;58441000;-7.184966461244417, -35.984736776495204;564;-7.184966461;-35.98473678
